2018-06-26 13:12:20.6737||DEBUG|BookingApp3.Program|init main |url: |action: 
2018-06-26 13:12:24.9346||INFO|BookingApp3.Controllers.ValuesController|Hello |url: http://localhost/api/values|action: Get
2018-06-26 13:12:24.9534||INFO|BookingApp3.Controllers.ValuesController|BookingApp3, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null |url: http://localhost/api/values|action: Get
2018-06-26 13:12:24.9534||INFO|BookingApp3.Controllers.ValuesController|Sealed Class : <>f__AnonymousType0`1 |url: http://localhost/api/values|action: Get
2018-06-26 13:12:24.9677||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : get_id |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0349||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : Equals |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0349||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : GetHashCode |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0534||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : ToString |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0619||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : GetType |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0619||INFO|BookingApp3.Controllers.ValuesController|Sealed Class : <>f__AnonymousType1`3 |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0815||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : get_id |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0815||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : get_auth_token |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0940||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : get_expires_in |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.0940||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : Equals |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1075||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : GetHashCode |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1075||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : ToString |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1075||INFO|BookingApp3.Controllers.ValuesController|Non-Public Method : GetType |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1243||INFO|BookingApp3.Controllers.ValuesController|Public Class : Program |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1243||INFO|BookingApp3.Controllers.ValuesController|Public Method : Main |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1372||INFO|BookingApp3.Controllers.ValuesController|Public Method : BuildWebHost |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1372||INFO|BookingApp3.Controllers.ValuesController|Public Method : ToString |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1372||INFO|BookingApp3.Controllers.ValuesController|Public Method : Equals |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1541||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetHashCode |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1541||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetType |url: http://localhost/api/values|action: Get
2018-06-26 13:12:25.1541||INFO|BookingApp3.Controllers.ValuesController|Public Class : Startup |url: http://localhost/api/values|action: Get
